"1","0","1","1","工作","jobs","ybd_classify_job_infor","三藩市, 湾区, bayarea ,工作,招聘,求职","找工作，求職","0"
"2","1","2","1","酒樓餐館 - RESTAURANT","Restaurant",,"餐館工作，麵點師傅，炒鍋，企檯，打雜，洗碗工","餐館工作","0"
"3","1","2","2","銷售相關-Sales Related","Sales Related",,"銷售員，銷售，Sales Related",,"0"
"5","1","2","4","公司請人-Office","Office",,"文員，辦公室聘請，助理，assistant",,"0"
"81","40","2","50","歐洲",,,,,"0"
"7","1","2","3","家庭聘請-Home Care","Home Care",,"保姆，住家保姆，通勤保姆，家，照顧老人",,"0"
"8","1","2","7","培訓-Training","Training",,"培訓，招生，求學",,"0"
"9","0","1","2","租房","house","ybd_classify_rent_infor","三藩市, 湾区, bayarea ,求职,招租",,"0"
"11","9","2","1","合租或房间",,,,,"0"
"12","9","2","2","整租",,,,,"0"
"13","9","2","3","短租",,,,,"0"
"15","9","2","5","商用",,,,,"0"
"29","1","2","6","美容美髮-Beauty & Hair Salon","Beauty & Hair Salon",,"美容美髮，美容，美髮，beauty， haircut",,"0"
"18","0","1","3","二手買賣","transactions","ybd_classify_transactions_infor","二手買賣,汽车",,"0"
"19","18","2","1","電腦及電子",,,,,"0"
"20","18","2","2","居家",,,,,"0"
"23","18","2","5","服飾&化妝品",,,,,"0"
"25","18","2","7","運動用品",,,,,"0"
"26","18","2","8","Moving Sale",,,,,"0"
"27","18","2","1","汽車",,,,,"0"
"28","18","2","10","其他",,,,,"0"
"31","18","2","9","書",,,,,"0"
"33","0","1","50","特價機票","tickets","ybd_classify_tickets_infor","特價機票","特價機票","0"
"34","33","2","50","美国出发",,,,,"0"
"38","33","2","50","中国出发",,,,,"0"
"39","0","1","50","居家 ","housecare","ybd_classify_housecare_infor","居家 ","居家 ","0"
"40","0","1","50","旅遊 ","traveling","ybd_classify_traveling_infor","旅遊 ","旅遊 ","0"
"41","0","1","50","教學進修 ","education","ybd_classify_education_infor","教學進修 ","教學進修 ","0"
"42","40","2","50","美西",,,,,"0"
"43","40","2","50","美东",,,,,"0"
"44","40","2","50","中国",,,,,"0"
"45","40","2","50","台湾",,,,,"0"
"46","40","2","50","拉斯维加斯",,,,,"0"
"48","39","2","50","搬家",,,,,"0"
"49","39","2","50","水電冷暖",,,,,"0"
"51","39","2","50","园艺",,,,,"0"
"52","39","2","50","清潔",,,,,"0"
"78","41","2","50","托兒",,,,,"0"
"54","39","2","50","装修油漆",,,,,"0"
"55","39","2","50","理財",,,,,"0"
"57","41","2","50","语言",,,,,"0"
"58","41","2","50","音乐",,,,,"0"
"59","41","2","50","舞蹈",,,,,"0"
"60","41","2","50","补习",,,,,"0"
"61","41","2","50","运动",,,,,"0"
"62","41","2","50","学车",,,,,"0"
"70","40","2","50","夏威夷",,,,,"0"
"75","39","2","50","修車",,,,,"0"
"72","41","2","50","執照",,,,,"0"
"73","41","2","50","留學生寄宿",,,,,"0"
"74","41","2","50","艺术",,,,,"0"
"77","41","2","50","活動",,,,,"0"
"79","39","2","50","活動",,,,,"0"
"80","40","2","50","亞洲",,,,,"0"
"83","39","2","50","Beauty",,,,,"0"
"84","40","2","50","拉美",,,,,"0"
"85","39","2","50","攝影",,,,,"0"
"86","40","2","50","非洲",,,,,"0"
"87","40","2","50","加拿大",,,,,"0"
"88","40","2","50","澳洲","Australia",,,"易八達分類 旅遊 澳洲","0"
"89","1","2","8","按摩-Massage","Massage",,"按摩，按摩院，按摩師",,"0"
"90","18","2","11","生意","Business",,"生意，轉讓",,"0"
"91","1","2","9","託兒-Day Care","Day Care",,"托儿，有牌，看孩子，照顾孩子",,"0"
"92","1","2","10","教育文化-Education","Education",,"中文家教，家教，学中文，教中文","易八达教育频道提供教育新闻、教育培训,包含三藩市湾区（旧金山）大学，中学，小学，学区，三藩市湾区（旧金山）语言学院，成人学校等信息以及美国知名大学，升学培训，留学机构等信息","0"
"93","1","2","11","其他","Else",,"請人，求職",,"0"
